;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;non region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
rebel_type			gladiator_uprising
category			gladiator_revolt
chance				100
description			gladiator_uprising
unit				Peasants

;======================================================================================
					
rebel_type			brigands
category			brigands
chance				50
description			brigands
unit				Peasants
					
rebel_type			pirates
category			pirates
chance				50
description			pirates
unit				pirate ship		

;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;				
;region			based
;;;;;;;;;;;;		;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
					
		
rebel_type			Livonian_Rebels
category			peasant_revolt 
chance				3					
description			Livonian_Rebels
unit				Woodsmen
unit				EE Peasant Archers
unit				Lithuanian Archers
unit				Viking Raiders
unit				Lithuanian Cavalry

rebel_type			Bohemian_Rebels
category			peasant_revolt 
chance				3					
description			Bohemian_Rebels
unit				Feudal Knights
unit				EE Peasant Archers
unit				EE Peasants
unit				Sergeant Spearmen
unit				Armored Sergeants
unit				Crossbow Militia
unit				Hussites
unit				Hussites

rebel_type			Bulgarian_Rebels
category			peasant_revolt 
chance				3					
description			Bulgarian_Rebels
unit				Bulgarian Brigands
unit				Bulgarian Brigands
unit				Slav Levies
unit				Slav Levies
unit				Magyar Cavalry
unit				Feudal Knights
unit				E Chivalric Knights

rebel_type			Wallachian_Rebels
category			peasant_revolt 
chance				3					
description			Wallachian_Rebels
unit				Bulgarian Brigands
unit				Slav Levies
unit				Slav Levies
unit				Magyar Cavalry
unit				Feudal Knights
unit				E Chivalric Knights
unit				Transilvanian Peasants
unit				Transilvanian Peasants

rebel_type			Greek_Rebels
category			peasant_revolt 
chance				3					
description			Greek_Rebels
unit				SE Town Militia
unit				SE Spear Militia
unit				S Archer Militia
unit				S Archer Militia
unit				Skythikon
unit				Byzantine Cavalry
unit				Byzantine Lancers
unit				Byzantine Spearmen

rebel_type			Native_Rebels
category			peasant_revolt 
chance				3					
description			Native_Rebels
unit				Native Warriors
unit				Native Archers
unit				Aztec Peasants

rebel_type			Croatian_Rebels
category			peasant_revolt 
chance				3					
description			Croatian_Rebels
unit				Croat Axemen
unit				Croat Axemen
unit				Peasant Archers
unit				Peasant Crossbowmen
unit				Pavise Crossbowmen
unit				Mailed Knights
unit				Feudal Knights

rebel_type			Anatolian_Rebels
category			peasant_revolt 
chance				3					
description			Anatolian_Rebels
unit				SE Town Militia
unit				SE Town Militia
unit				SE Spear Militia
unit				S Archer Militia
unit				Skythikon
unit				Byzantine Cavalry
unit				Byzantine Lancers
unit				Byzantine Spearmen
